custid,retained,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,train,favday,city
7YBLJP,1,3/5/2011,4/14/2013,4/14/2013,44,2.272727273,0,75.34,0,0,0,0,0,Monday,CHO
4XTZBW,0,1/17/2010,9/22/2010,12/21/2010,0,0,0,25.41,0.166666667,0,0,0,0,Thursday,CHO
2ZM8LV,1,2/7/2011,4/10/2011,8/30/2012,47,2.127659574,0,51.87,0.007874016,0,0,0,0,Monday,CHO
4SXMB8,0,9/13/2010,9/13/2010,9/13/2010,0,0,0,29.68,0,0,0,0,0,Tuesday,CHO
ATZ3SM,1,10/31/2009,10/31/2009,6/14/2011,41,26.82926829,2.43902439,36.32,0.003384095,0,0,0,0,Tuesday,CHO
KBQYJS,1,12/6/2010,12/6/2010,12/6/2010,33,66.66666667,3.03030303,50,0,0,0,0,0,Thursday,CHO
7CSZT9,1,5/26/2010,2/28/2011,12/20/2012,34,91.17647059,8.823529412,71.09,0.009077156,0,0,0,0,Tuesday,CHO
EVNYY8,1,10/3/2010,10/4/2010,3/19/2013,41,17.07317073,0,29.38,0.002229654,0,0,0,0,Monday,CHO
VYZNXG,0,1/21/2011,4/11/2011,8/9/2012,3,66.66666667,0,36.73,0.049382716,0,0,0,0,Thursday,RIC
V9M9KQ,1,11/9/2010,11/9/2010,1/3/2012,18,0,0,147.47,0.011904762,0,0,0,0,Wednesday,RIC
XSGC8S,1,3/16/2009,3/16/2009,3/16/2009,16,0,0,7.14,0,0,0,0,0,Tuesday,CHO
ER8P5H,0,2/16/2010,2/25/2010,7/20/2011,0,0,0,42.94,0.029411765,0,0,0,0,Thursday,CHO
RS3GR,0,4/27/2011,7/22/2011,9/6/2011,0,0,0,15.44,0.065217391,0,0,0,0,Friday,RIC
4KVY8L,0,10/28/2009,12/28/2009,12/28/2009,39,17.94871795,0,33.4,0,0,0,0,0,Tuesday,CHO
N644Y8,1,12/15/2008,10/22/2009,8/21/2013,35,91.42857143,11.42857143,42.07,0.029306648,1,0,0,0,Thursday,CHO
QPHG7V,1,9/22/2010,3/16/2011,1/18/2013,48,10.41666667,4.166666667,50.21,0.03115727,0,0,0,0,Thursday,RIC
2A5TBB,1,11/8/2010,1/12/2011,1/8/2014,44,93.18181818,13.63636364,83.07,0.135531136,0,0,0,0,Tuesday,RIC
KXTV8T,1,6/22/2010,7/19/2011,8/20/2012,43,23.25581395,0,84.67,0.015075377,1,0,0,0,Monday,CHO
KDLBAE,1,11/17/2010,11/18/2010,11/18/2010,47,8.510638298,2.127659574,58.95,0,0,0,0,0,Thursday,CHO
YNP547,1,8/21/2010,8/23/2010,9/12/2010,45,4.444444444,0,93.96,0.1,1,0,0,0,Tuesday,CHO
UGQ8VY,1,1/19/2011,2/14/2011,10/15/2013,40,45,0,192.98,0.013347023,0,0,0,0,Tuesday,CHO
8XSJPQ,1,7/22/2010,7/23/2010,11/6/2013,50,4,0,84.88,0.024126456,0,0,0,0,Friday,CHO
5R2GEU,1,4/1/2011,4/4/2011,5/23/2011,45,8.888888889,0,41.51,0.040816327,0,0,0,0,Monday,CHO
5V4WH3,0,3/24/2011,4/8/2011,5/13/2011,0,0,0,97.89,0.085714286,0,0,0,0,Friday,CHO
5FB2AP,1,9/15/2010,9/15/2010,9/15/2010,44,2.272727273,0,19.56,0,0,0,0,0,Wednesday,CHO
SXPMV5,0,12/3/2009,2/14/2010,2/14/2010,0,0,0,24.26,0,0,0,0,0,Monday,CHO
4ZDLEH,0,7/12/2010,10/15/2010,12/23/2011,0,0,0,56.83,0.020737327,0,0,0,0,Friday,RIC
SMEWYP,0,4/11/2011,4/11/2011,4/11/2011,0,0,0,72.4,0,1,0,0,0,Thursday,RIC
7RV4T3,0,9/29/2010,10/4/2010,7/10/2012,0,0,0,135.55,0.007751938,1,0,0,0,Thursday,RIC
2YMN6P,0,5/21/2010,5/21/2010,5/21/2010,0,0,0,42.6,0,0,0,0,0,Wednesday,CHO
7WGT48,1,8/11/2010,3/1/2011,10/7/2013,40,42.5,7.5,27.86,0.045215563,1,0,0,0,Tuesday,RIC
849DDM,0,2/24/2010,2/24/2010,2/24/2010,0,0,0,56.71,0,0,0,0,0,Wednesday,CHO
T8G2CY,1,5/19/2010,1/8/2012,1/8/2012,16,0,0,81.99,0,0,0,0,0,Wednesday,CHO
VF2825,1,4/29/2010,4/20/2013,4/20/2013,33,78.78787879,27.27272727,56.74,0,0,0,0,0,Tuesday,CHO
2PB5EX,1,10/4/2010,10/5/2010,10/5/2010,31,67.74193548,3.225806452,100.6,0,0,0,0,0,Tuesday,CHO
